Market,Selection,BidType,Odds,Stake,ProfitLoss,Date 
06 November  / Hull v Southampton / Match Odds,Hull,Lay,1.54,9,-4.86,11/6/2016
06 November  / Chievo v Juventus / Match Odds,Juventus,Lay,1.16,23.94,-3.83,11/6/2016
06 November  / Chievo v Juventus / Match Odds,Juventus,Back,2.84,3,5.52,11/6/2016
06 November  / Chievo v Juventus / Match Odds,Juventus,Back,2.82,7,12.74,11/6/2016
06 November  / FK Krasnodar v FC Orenburg / Match Odds,FC Orenburg,Lay,8.2,8,8,11/6/2016
06 November  / Terek Grozni v Zenit St Petersburg / Match Odds,Terek Grozni,Lay,1.72,5,-3.6,11/6/2016
06 November  / Terek Grozni v Zenit St Petersburg / Match Odds,Terek Grozni,Lay,1.9,15,-13.5,11/6/2016
11 November / France v Sweden / Match Odds,France,Lay,1.11,27.32,-3.01,11/11/2016
11 November / France v Sweden / Match Odds,France,Back,1.53,20,10.6,11/11/2016
11 November / Romania v Poland / Match Odds,Romania,Back,10.5,2.45,-2.45,11/11/2016
11 November / Romania v Poland / Match Odds,Romania,Back,9.4,3,-3,11/11/2016
11 November / Romania v Poland / Match Odds,Romania,Lay,3.6,15,15,11/11/2016
19 November  / Eibar v Celta Vigo / Match Odds,Eibar,Lay,1.44,5,-2.2,11/19/2016
19 November  / Eibar v Celta Vigo / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2.26,5,-5,11/19/2016
19 November  / Barcelona v Malaga / Match Odds,Barcelona,Lay,1.59,7.75,7.75,11/19/2016
19 November  / Barcelona v Malaga / Match Odds,Barcelona,Back,1.55,8,-8,11/19/2016
19 November  / C Palace v Man City / Match Odds,Man City,Lay,1.11,14.15,-1.56,11/19/2016
19 November  / C Palace v Man City / Match Odds,Man City,Back,3.2,2,4.4,11/19/2016
19 November  / C Palace v Man City / Match Odds,Man City,Back,3.2,3,6.6,11/19/2016
19 November  / C Palace v Man City / Over/Under 3.5 Goals,Over 3.5 Goals,Lay,4.4,0.04,0.04,11/19/2016
19 November  / C Palace v Man City / Over/Under 3.5 Goals,Over 3.5 Goals,Lay,4.4,2.62,2.62,11/19/2016
19 November  / Man Utd v Arsenal / Match Odds,Arsenal,Lay,20,0.25,0.25,11/19/2016
19 November  / Man Utd v Arsenal / Match Odds,The Draw,Lay,1.17,4.23,-0.72,11/19/2016
19 November  / Man Utd v Arsenal / Match Odds,Man Utd,Lay,1.25,4,4,11/19/2016
